indicator,road,model_type,MAPE_test_%,SMAPE_test_%,AIC,resid_std
loss_12,Окт,AAA,774.7995213874344,68.23483168850983,1110.0106738293166,690.3402857580417
loss_12,Клнг,AAA,1308483152304.9556,88.06505493502014,814.6845119014134,64.03475504530303
loss_12,Моск,AAA,44.2238927314321,53.18448913160624,1150.1858936632084,1212.8571541147448
loss_12,Горьк,AAA,11672294548073.97,70.3245269096266,1014.2145435566565,499.72702496835245
loss_12,Сев,AAA,4913.505306386421,71.95936152626888,1064.8499698639198,418.8468325723071
loss_12,С-Кав,AAA,20195974353552.402,89.97497965946137,1107.3075369632024,626.7990872634213
loss_12,Ю-Вост,AAA,1235394322578.7422,52.162289297736265,972.301317981217,201.11343633827258
loss_12,Прив,AAA,4057310260959.459,43.48090971038926,1199.2280250813458,557.9089324301965
loss_12,Кбш,AAA,2528904896040.715,49.327445845209276,1089.2865678342653,584.4680018124923
loss_12,Сверд,AAA,10505441533016.02,104.63379561631594,1152.1636810442421,596.1217013138371
loss_12,Ю-Ур,AAA,2213128801350.9688,92.48875581267534,1048.955411513748,1334.8617129530815
loss_12,З-Сиб,AAA,4261319085911.0986,100.37593847366317,1071.2613625279098,414.2048298454361
loss_12,Крас,AAA,25886117832343.574,100.62149071962811,1056.0951675198173,496.6084750218444
loss_12,В-Сиб,AAA,10357342272328.582,84.48356921970768,1101.782173506105,640.7813136109796
loss_12,Заб,AAA,33590049431791.484,136.0687321148099,1241.0208009493901,1593.2333112975227
loss_12,Двост,AAA,16511891990111.012,115.2326451821316,1255.396692437057,1840.4203851287782
