indicator,road,model_type,MAPE_test_%,SMAPE_test_%,AIC,resid_std
loss_total,Окт,AAA,1297.2737118863504,61.02815440534075,1227.7255683483431,1175.6212907867475
loss_total,Клнг,AAA,1239508426413.6416,75.98991488922242,935.7752898361632,213.2876243895391
loss_total,Моск,AAA,42.166378133106484,49.891527101219154,1231.050217786803,1774.0305336713657
loss_total,Горьк,AAA,100.81629292979454,60.471006651448825,1100.7576021737639,1004.137356800238
loss_total,Сев,AAA,1185.7049425321607,54.45227096609673,1184.3978192654674,757.5761900349381
loss_total,С-Кав,AAA,9369554956771.201,77.59833560687426,1213.3041738299921,1326.9722966147385
loss_total,Ю-Вост,AAA,2091120530604.7314,60.708781707493095,1063.3667931764683,488.80519728148784
loss_total,Прив,AAA,99.47583058374519,38.695801894860324,1288.686449112928,1507.6143348103665
loss_total,Кбш,AAA,10690010201010.215,48.93782635075905,1191.0870772732694,836.4601826009675
loss_total,Сверд,AAA,6302345592834.277,73.0606157781268,1221.2192624231543,1392.7461028726516
loss_total,Ю-Ур,AAA,38.047223105814794,50.444602671502935,1172.3246717475722,1505.3437057558651
loss_total,З-Сиб,AAA,7900448518857.846,45.81776440446699,1124.7381628958035,843.0718110649848
loss_total,Крас,AAA,27514074410851.703,84.69233908500239,1097.996244260893,726.5408587992989
loss_total,В-Сиб,AAA,8030028026843.18,55.27283124330482,1213.2970296436047,893.8163084672173
loss_total,Заб,AAA,7033347673181.381,69.1686471362967,1304.558627930677,2071.5323422780457
loss_total,Двост,AAA,205.93161298127245,74.13812386642165,1324.0287622889002,2796.9520916647575
