indicator,road,model_type,MAPE_test_%,SMAPE_test_%,AIC,resid_std
train_km,Окт,AAA,18.257893458464366,16.52485209238472,2529.923861263834,1075711.1344663263
train_km,Клнг,AAA,10.674011401012065,10.026056825700746,2286.062193946515,428897.9893590656
train_km,Заб,AAA,9.454800020177643,9.32509212321756,2449.6003724793673,1071517.3796230904
train_km,Двост,AAA,13.034799088466784,13.473426406636404,2399.424978022458,1390227.3043648242
loss_12,Окт,AAA,774.7995213874344,68.23483168850983,1110.0106738293166,690.3402857580417
loss_12,Клнг,AAA,1308483152304.9556,88.06505493502014,814.6845119014134,64.03475504530303
loss_12,Заб,AAA,33590049431791.484,136.0687321148099,1241.0208009493901,1593.2333112975227
loss_12,Двост,AAA,16511891990111.012,115.2326451821316,1255.396692437057,1840.4203851287782
loss_3,Окт,AAA,6544113810176.288,116.60799325248463,888.8695655009138,198.60855504127312
loss_3,Клнг,AAA,2182184616236.7534,112.67392482551732,639.2290107553631,80.72049055918906
loss_3,Заб,AAA,6792521655096.384,136.38486008879374,1010.4209521104884,351.070919950598
loss_3,Двост,AAA,11853958922688.428,117.44657021184392,969.5169804675552,329.76392320145095
loss_tech,Окт,AAA,9149754034145.7,93.00531143737877,1191.1230184754793,837.3786084023268
loss_tech,Клнг,AAA,897513249392.4429,108.5066932471279,895.5581819596256,194.41057359939086
loss_tech,Заб,AAA,50619502260476.63,98.08517566393475,1269.0553857653003,2318.5542490744433
loss_tech,Двост,AAA,22943622712556.47,80.34346327665799,1260.1609445509641,1168.0409985329898
loss_total,Окт,AAA,1297.2737118863504,61.02815440534075,1227.7255683483431,1175.6212907867475
loss_total,Клнг,AAA,1239508426413.6416,75.98991488922242,935.7752898361632,213.2876243895391
loss_total,Заб,AAA,7033347673181.381,69.1686471362967,1304.558627930677,2071.5323422780457
loss_total,Двост,AAA,205.93161298127245,74.13812386642165,1324.0287622889002,2796.9520916647575
specific,Окт,AAA,875.2475615855831,50.164461730614754,769.8428165466134,68.67020012766051
specific,Клнг,AAA,455168098623.5728,73.5849224458883,776.6559962540952,65.03468653739144
specific,Заб,AAA,1550069822920.6404,60.118945296523165,941.3920400021273,194.53936344978314
specific,Двост,AAA,157.47093125968777,68.34711891678852,943.2580898943418,266.84405302047134
